    名称,所属行业,代码
移为通信,通信设备,300590
怡达股份,化学制品,300721
华绿生物,种植业与林业,300970
安诺其,化学制品,300067
旗天科技,文化传媒,300061
佳华科技,IT服务,688051
线上线下,通信服务,300959
铜牛信息,通信服务,300895
贝达药业,化学制药,300558
杭州园林,建筑装饰,300649
盛科通信-U,半导体,688702
美新科技,塑料制品,301588
西部牧业,饮料制造,300106
东望时代,电力,600052
节能风电,电力,601016
综艺股份,综合,600770
齐心集团,家居用品,002301
通达电气,汽车零部件,603390
九阳股份,小家电,002242
中源家居,家居用品,603709
福鞍股份,环境治理,603315
德龙汇能,燃气,000593
中衡设计,建筑装饰,603017
山东墨龙,专用设备,002490
华电能源,煤炭开采加工,600726
杭电股份,电网设备,603618
华源控股,包装印刷,002787
泰慕士,服装家纺,001234
千味央厨,食品加工制造,001215
莲花控股,食品加工制造,600186
绿发电力,电力,000537
迎驾贡酒,白酒,603198
应流股份,通用设备,603308
亿道信息,消费电子,001314
汇绿生态,通信设备,001267
大族激光,自动化设备,002008
和远气体,化学制品,002971
众合科技,轨交设备,000925
美诺华,化学制药,603538
广西能源,电力,600310
中贝通信,通信服务,603220
兆驰股份,黑色家电,002429
联泓新科,光伏设备,003022
水发燃气,燃气,603318
昊华能源,煤炭开采加工,601101
苏州高新,房地产,600736
中兴商业,零售,000715
中原内配,汽车零部件,002448
佳力图,通用设备,603912
中新集团,房地产,601512
大连电瓷,电网设备,002606
法尔胜,环保设备,000890
浙文互联,文化传媒,600986
罗欣药业,化学制药,002793
华电辽能,电力,600396
国检集团,其他社会服务,603060
晶科科技,电力,601778
金 螳 螂,建筑装饰,002081
建新股份,化学制品,300107
博云新材,军工装备,002297
海星股份,电子化学品,603115
天银机电,白色家电,300342
粤电力Ａ,电力,000539
小商品城,零售,600415
南网能源,电力,003035
新天绿能,电力,600956
苏大维格,光学光电子,300331
唯特偶,电子化学品,301319
浙江恒威,电池,301222
博瑞医药,化学制药,688166
恒铭达,消费电子,002947
金银河,电池,300619
熵基科技,计算机设备,301330
利通电子,消费电子,603629
华如科技,军工电子,301302
大宏立,专用设备,300865
神开股份,专用设备,002278
军信股份,环境治理,301109
凌玮科技,化学制品,301373
斯莱克,专用设备,300382
中国动力,其他电源设备,600482
中复神鹰,化学纤维,688295
八亿时空,光学光电子,688181
翔丰华,电池,300890
国际复材,建筑材料,301526
赛意信息,IT服务,300687
贵阳银行,银行,601997
湖南发展,电力,000722
拓斯达,自动化设备,300607
雪榕生物,种植业与林业,300511
华特气体,电子化学品,688268
长虹华意,白色家电,000404
莱克电气,小家电,603355
杰瑞股份,专用设备,002353
博杰股份,自动化设备,002975
江苏新能,电力,603693
信测标准,其他社会服务,300938
福田汽车,汽车整车,600166
品高股份,IT服务,688227
永鼎股份,通信设备,600105
华谊兄弟,影视院线,300027
锌业股份,工业金属,000751
龙蟠科技,电池,603906
金利华电,电网设备,300069
金洲管道,钢铁,002443
圣邦股份,半导体,300661
广合科技,元件,001389
光迅科技,通信设备,002281
飞利信,IT服务,300287
节能环境,环境治理,300140
浙江新能,电力,600032
杰恩股份,其他社会服务,300668
潜能恒信,油气开采及服务,300191
老白干酒,白酒,600559
键邦股份,化学制品,603285
金鸿顺,汽车零部件,603922
浙数文化,游戏,600633
节能国祯,环境治理,300388
金开新能,电力,600821
视源股份,消费电子,002841
润本股份,美容护理,603193
万孚生物,医疗器械,300482
中国船舶,军工装备,600150
敷尔佳,美容护理,301371
绿色动力,环境治理,601330
泰坦股份,专用设备,003036
美能能源,燃气,001299
恒宇信通,军工装备,300965
中国科传,文化传媒,601858
航亚科技,军工装备,688510
亨通光电,通信设备,600487
上能电气,光伏设备,300827
嘉戎技术,环境治理,301148
爱尔眼科,医疗服务,300015
优利德,通用设备,688628
南网储能,电力,600995
莱尔科技,电子化学品,688683
赛伍技术,光伏设备,603212
中元股份,电网设备,300018
晶升股份,半导体,688478
诺唯赞,生物制品,688105
新风光,电网设备,688663
富佳股份,小家电,603219
益丰药房,医药商业,603939
中船防务,军工装备,600685
龙芯中科,半导体,688047
城发环境,环境治理,000885
吴通控股,通信服务,300292
潍柴动力,汽车零部件,000338
华策影视,影视院线,300133
劲仔食品,食品加工制造,003000
华电新能,电力,600930
广汇能源,油气开采及服务,600256
高铁电气,轨交设备,688285
银星能源,电力,000862
天音控股,零售,000829
中闽能源,电力,600163
立达信,光学光电子,605365
韶能股份,电力,000601
国民技术,半导体,300077
ST晨鸣,造纸,000488
瑞丰新材,化学制品,300910
通宝能源,电力,600780
*ST沪科,贸易,600608
金宏气体,电子化学品,688106
山煤国际,煤炭开采加工,600546
*ST中迪,房地产,000609
*ST原尚,物流,603813
青木科技,互联网电商,301110
ST景谷,种植业与林业,600265
朗博科技,汽车零部件,603655
*ST熊猫,家居用品,600599
宏辉果蔬,种植业与林业,603336
深粮控股,农产品加工,000019
金富科技,包装印刷,003018
*ST春天,食品加工制造,600381
ST华铭,计算机设备,300462
宝光股份,电网设备,600379
信维通信,消费电子,300136
新集能源,煤炭开采加工,601918
中煤能源,煤炭开采加工,601898
风语筑,文化传媒,603466
蓝焰控股,油气开采及服务,000968
黑牡丹,房地产,600510
四方新材,建筑材料,605122
四会富仕,元件,300852
九洲集团,电力,300040
万向钱潮,汽车零部件,000559
尚品宅配,家居用品,300616
*ST岩石,白酒,600696
赛摩智能,通用设备,300466
凤凰股份,房地产,600716
海正生材,塑料制品,688203
集智股份,通用设备,300553
海创药业-U,化学制药,688302
千里科技,汽车整车,601777
古井贡酒,白酒,000596
华银电力,电力,600744
高新发展,建筑装饰,000628
联诚精密,汽车零部件,002921
蜀道装备,专用设备,300540
聚杰微纤,纺织制造,300819
ST易购,互联网电商,002024
乐惠国际,专用设备,603076
三环集团,元件,300408
善水科技,化学原料,301190
金麒麟,汽车零部件,603586
中国卫星,军工装备,600118
万邦达,石油加工贸易,300055
精工钢构,建筑装饰,600496
*ST天喻,通信设备,300205
威高骨科,医疗器械,688161
老百姓,医药商业,603883
国瑞科技,军工装备,300600
迦南智能,电网设备,300880
丽江股份,旅游及酒店,002033
ST惠伦,元件,300460
浩云科技,IT服务,300448
红豆股份,服装家纺,600400
移远通信,通信设备,603236
潞安环能,煤炭开采加工,601699
紫光股份,IT服务,000938
北摩高科,军工装备,002985
和顺科技,塑料制品,301237
中曼石油,油气开采及服务,603619
武汉凡谷,通信设备,002194
大地海洋,环境治理,301068
中简科技,军工装备,300777
红蜻蜓,服装家纺,603116
华人健康,医药商业,301408
斯达半导,半导体,603290
泰晶科技,元件,603738
海泰新光,医疗器械,688677
尔康制药,化学制药,300267
麦加芯彩,化学制品,603062
海油工程,油气开采及服务,600583
德力佳,风电设备,603092
